name;y;x;is_public;label;
"ESF Marco Francisco Barth
Rua Rui Barbosa, 1616 - Progresso";-26.9712699862534;-49.091891997278200;yes;esf_marco_francisco_barth;
"ESF Maria Schlindwein Baumgartner I e II
Rua da Glória, 1993 - Glória";-26.9673466622678;-49.05198361608340;yes;esf_maria_schlindwein_baumgartner;
"UAS Léo de Carvalho
Rua Eng. Odebrecht, 961 - Garcia";-26.9389357437939;-49.059043056915000;yes;uas_leo_de_carvalho;
Ambulatório Geral da Família Mário Jorge Vieira (AGF Fortaleza);-26.8688749334008;-49.06106987436400;yes;agf_ambulatorio_geral_familia_mario_jorge_vieira;
ESF Ângelo de Caetano I e II – Rua Godofredo Rangel, 100 - Fidélis;-26.8494331577417;-49.073290053887900;yes;esf_angelo_de_caetano;
ESF Hasso Müller I – Rua Hermann Tribess, 457 - Tribess;-26.877254712892;-49.05880627179290;yes;esf_hasso_muller;
ESF Evacir Barth – Rua Roberto Koch, 78 - Tribess;-26.8809907509296;-49.05511431420350;yes;esf_evacir_barth;
ESF Germano Puff – Rua 1º de Janeiro, 74 - Itoupava Norte;-26.8731002370603;-49.08815524451120;yes;esf_germano_puff;
ESF Gustavo Tribess I e II – Rua Hermann Tribess, 1975 - Tribess;-26.8698562553464;-49.049806439610500;yes;esf_gustavo_tribess;
ESF Lothar Franz – Rua Helmuth Sievert, s/nº - Itoupava Norte;-26.8722754030663;-49.083521281113000;yes;esf_lothar_franz;
ESF Norberto Sprung – Rua Hermann Lange, ao lado 2268 - Fidélis;-26.830044168755;-49.06122755310530;yes;esf_norberto_sprung;
ESF Zerbert Kraupp – Rua Nesio Antunes da Silva, 135;-26.8803797865702;-49.045518503074600;yes;esf_zerbert_kraupp;
Ambulatório Geral da Família Mário Jorge Vieira (AGF Fortaleza);-26.8687095648592;-49.06108266844620;yes;agf_ambulatorio_geral_familia_mario_jorge_vieira;
ESF Ângelo de Caetano I e II – Rua Godofredo Rangel, 100 - Fidélis;-26.8494224749786;-49.07320232167480;yes;esf_angelo_de_caetano;
ESF Hasso Müller I – Rua Hermann Tribess, 457 - Tribess;-26.8772362010675;-49.058819707508900;yes;esf_hasso_muller;
ESF Evacir Barth – Rua Roberto Koch, 78 - Tribess;-26.8809951106455;-49.055096094404100;yes;esf_evacir_barth;
ESF Germano Puff – Rua 1º de Janeiro, 74 - Itoupava Norte;-26.8730250339262;-49.088182126117200;yes;esf_germano_puff;
ESF Gustavo Tribess I e II – Rua Hermann Tribess, 1975 - Tribess;-26.8700405562293;-49.04980747873920;yes;esf_gustavo_tribess;
ESF Lothar Franz – Rua Helmuth Sievert, s/nº - Itoupava Norte;-26.872089340875;-49.08350172426810;yes;esf_lothar_franz;
ESF Norberto Sprung – Rua Hermann Lange, ao lado 2268 - Fidélis;-26.8300154471449;-49.06130265495420;yes;esf_norberto_sprung;
ESF Zerbert Kraupp – Rua Nesio Antunes da Silva, 135;-26.8803009236799;-49.04522874570800;yes;esf_zerbert_kraupp;
Ambulatório Geral da Família Guilherme Jensen (AGF Itoupava);-26.7996945718101;-49.08669919728400;yes;agf_ambulatorio_geral_familia_guilherme_jensen;
ESF Alfredo Hoess – Rua Max Hauffe, 218 - Vila Itoupava;-26.724975317201;-49.06829916283630;yes;esf_alfredo_hoess;
ESF Wilhelm Theodor Schurmann – Rua Pérola do Vale, 377 - Itoupava Central;-26.8343527501989;-49.08362979728290;yes;esf_wilhelm_theodor_schurmann;
ESF Jackson Roberto Carl – Rua Gustavo Zimmermann, 4099 - Itoupava Central;-26.8156747502744;-49.08696240892810;yes;esf_jackson_roberto_carl;
ESF Franz Zimdars – Rua Ervin Manske, 4571 - Vila Itoupava;-26.7052354109453;-49.10208929543840;yes;esf_franz_zimdars;
ESF Gustavo Froehlisch Barroso – Rua João Krause, 56 - Itoupava Central;-26.8194985553946;-49.08668502427000;yes;esf_gustavo_froehlisch_barroso;
ESF Martin Volles I e II – Rua Franz Volles, s/nº - Itoupava Central;-26.8331655350791;-49.107019768447400;yes;esf_martin_volles;
"Ambulatório Geral da Família Dr. Diogo Vergara (AGF Badenfurt)
Rua Villa Lobos, 121 - Badenfurt 
Atendimento: de segunda a sexta-feira, das 7h às 22h
Tel.: (47) 3381.6710 | 3381.6711";-26.8789208306925;-49.13997589617140;yes;agf_ambulatorio_geral_familia_dr_diogo_vergara;
"ESF Armando Odebrecht I e II
Rua Professor Jacob Ineichen, defronte 50 - Itoupavazinha
Atendimento:das 7h30 às 12h e das 13h às 16h30
Tel.: (47) 3381.7075";-26.8530573798414;-49.12029030313320;yes;esf_armando_odebrecht;
"ESF Frederico Jensen
Rua Frederico Jensen, 988 - Itoupavazinha
Atendimento: 7h às 12h e das 13h às 16h
Tel: 3381.6102 | 3381.6103
";-26.8600987430592;-49.09577833826920;yes;esf_frederico_jensen;
"ESF Geraldo Schmidt Sobrinho
Rua Johann Sachse, ao lado do número 2602 - Salto do Norte
Atendimento: 7h30 às 12h e das 13h30 às 16h30
Tel.: (47) 3381.6716 | 3381.6717";-26.8656905809107;-49.12016001565090;yes;esf_geraldo_schmidt_sobrinho;
"ESF Gilson Piva I
Rua Jardim Germanico, s/nº - Itoupavazinha
Atendimento: 7h às 12h e das 13h às 16h
Tel.: (47) 3381.6101";-26.8540381273437;-49.09433006844660;yes;esf_gilson_piva;
"ESF Harold Ewald
Rua Frederico Jensen, 2429 - Itoupavazinha
Atendimento: 7h às 12h 13h às 16h
Tel.: (47) 3381.6243";-26.85714727468;-49.10950422611770;yes;esf_harold_ewald;
"ESF Tereza Leszcowicz
Rua Felipe Bauler, 2155 - Itoupavazinha
Atendimento: 7h às 12h e das 13h às 16h
Tel.: (47) 3381.6280 | 3381.6281";-26.8543273315404;-49.1320335307759;yes;esf_tereza_leszcowicz;
"Ambulatório Geral da Família Heinz Schrader (AGF Centro)
Rua República Argentina, 2.077 - Ponta Aguda
Atendimento: de segunda a sexta-feira, das 7h às 22h
Tel.: (47) 3381.6257"; -26.9084796338429 ; -49.04712439728050 ;yes;agf_ambulatorio_geral_familia_heinz_schrader;
"ESF Afonso Rabe
Rua Uruguaiana, 411 - Ponta Aguda
Atendimento: 7h às 12h e das 13h às 16h
Tel.: (47) 3381.6821 "; -26.9043370004222 ; -49.04862059553310 ;yes;esf_afonso_rabe;
"ESF Glodoaldo Lino de Amorim I e II
Rua Araranguá, 728 - Ribeirão Fresco
Atendimento: 7h às 12h e das 13h às 16h
Tel.: (47) 3381.6274 "; -26.9324692603808 ; -49.05489533285710 ;yes;esf_glodoaldo_lino_de_amorim;
"ESF Otto Bartsch Neto
Rua Cuba, 40 - Ponta Aguda
Atendimento: 8h às 12h e das 13h às 17h
Tel.: (47) 3381.6115 | 3381.6117 (odontologia)
"; -26.9077515553431 ; -49.06731259442570 ;yes;esf_otto_bartsch_neto;
"ESF Orlando Margarida
Rua Santo André – defronte ao nº 55 - Itoupava Norte
Atendimento: 7h às 12h e das 13h às 16h30 
Tel.: 3381.6109";-26.8909923513671;-49.07365734168920;yes;esf_orlando_margarida;
"ESF Pedro Krauss
Rua Itajaí, 1519 - Vorstadt
Atendimento: 7h às 12h e das 13h às 16h
Tel.: (47) 3381.7519";-26.9119971444187;-49.05050936140180;yes;esf_pedro_krauss;
"ESF Rubens Belisário Vedes
Rua Luiz Eleodoro da Silva, 735 - Ponta Aguda 
Atendimento: 8h às 12h e das 13h às 17h
Tel.: (47) 3381.7133";-26.9017682163286;-49.04822888952140;yes;esf_rubens_belisario_vedes;
"ESF Rudolfo Oswald Hesse
Rua Pastor Oswaldo Hesse, 1620 - Ribeirão Fresco
Atendimento: 8h às 12h e das 13h às 17h
Tel.: (47) 3381.7305";-26.9280030459554;-49.04076437161180;yes;esf_rudolfo_oswald_hesse;
